FECHA,HORA_UTC,LATITUD (grados),LONGITUD (grados),PROFUNDIDAD (Km),MAGNITUD Ml,MAGNITUD Mw,DEPARTAMENTO,MUNICIPIO,# FASES,RMS (Seg),GAP (grados),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),ESTADO
2012-08-14,08:06:53,   6.812, -73.171, 145.3,  3.6,  3.7,SANTANDER,LOS_SANTOS,21, 0.50,55,  2.8,  3.1,  4.9,Revisado
2012-08-17,07:39:22,   6.182, -73.692, 114.8,  3.0,  3.2,SANTANDER,LANDAZURI,13, 0.50,57,  3.3,  3.5,  9.2,Revisado
2012-08-17,19:38:18,   6.774, -73.152, 144.0,  4.0,  3.7,SANTANDER,LOS_SANTOS,18, 0.40,65,  3.1,  2.8,  4.7,Revisado
2012-08-19,15:59:53,   6.790, -73.139, 148.0,  3.1,  3.1,SANTANDER,LOS_SANTOS,15, 0.50,115,  3.0,  3.9,  4.9,Revisado
2012-08-20,01:23:50,   6.805, -73.151, 150.5,  3.6,  3.8,SANTANDER,LOS_SANTOS,17, 0.50,55,  2.8,  2.9,  5.2,Revisado
2012-08-20,13:00:31,   6.809, -73.154, 146.8,  4.1,  4.3,SANTANDER,LOS_SANTOS,19, 0.50,55,  2.9,  3.2,  4.9,Revisado
2012-08-24,03:27:19,   6.811, -73.153, 144.0,  3.5,  3.8,SANTANDER,LOS_SANTOS,16, 0.50,65,  3.2,  3.4,  6.1,Revisado
2012-08-25,21:22:44,   6.825, -73.147, 147.7,  3.2,  3.5,SANTANDER,LOS_SANTOS,14, 0.40,65,  2.7,  2.6,  4.5,Revisado
2012-08-25,21:40:14,   6.819, -73.152, 146.3,  3.2,  3.5,SANTANDER,LOS_SANTOS,14, 0.40,65,  3.0,  3.0,  5.1,Revisado
2012-08-26,08:00:30,   6.821, -73.147, 144.8,  3.0,  3.5,SANTANDER,LOS_SANTOS,16, 0.50,65,  3.4,  3.0,  5.6,Revisado
2012-08-27,08:55:47,   6.793, -73.149, 148.8,  3.2,  3.6,SANTANDER,LOS_SANTOS,18, 0.40,65,  2.8,  2.9,  4.6,Revisado
2012-08-28,22:04:03,   6.808, -73.156, 144.0,  4.4,  4.6,SANTANDER,LOS_SANTOS,26, 0.50,55,  2.6,  3.0,  4.9,Revisado
2012-08-28,23:38:49,   6.792, -73.132, 142.8,  3.6,  3.8,SANTANDER,LOS_SANTOS,17, 0.50,55,  2.9,  2.9,  4.8,Revisado
2012-09-01,05:09:46,   6.825, -73.158, 154.0,  5.3,  5.4,SANTANDER,LOS_SANTOS,33, 0.50,55,  2.9,  3.0,  4.2,Revisado
2012-09-03,08:46:44,   6.787, -73.146, 143.7,  3.9,  4.0,SANTANDER,LOS_SANTOS,19, 0.40,66,  2.7,  2.5,  4.1,Revisado
2012-09-07,11:03:49,   6.783, -73.153, 140.4,  3.7,  3.9,SANTANDER,LOS_SANTOS,20, 0.50,65,  4.1,  3.5,  5.3,Revisado
2012-09-08,16:51:47,   6.787, -73.142, 147.3,  3.7,  3.9,SANTANDER,LOS_SANTOS,22, 0.50,55,  3.4,  3.4,  4.6,Revisado
2012-09-10,07:16:47,   6.785, -73.140, 148.4,  3.3,  3.5,SANTANDER,LOS_SANTOS,15, 0.40,66,  3.2,  3.1,  5.2,Revisado
2012-09-10,14:43:02,   6.786, -73.155, 149.0,  4.1,  3.9,SANTANDER,LOS_SANTOS,17, 0.40,65,  3.0,  2.5,  4.5,Revisado
2012-09-16,12:11:06,   6.785, -73.147, 146.4,  3.1,  3.3,SANTANDER,LOS_SANTOS,16, 0.40,66,  3.2,  2.8,  4.7,Revisado
2012-09-16,20:19:40,   6.354, -73.603, 112.5,  3.2,  3.8,SANTANDER,SANTA_HELENA_DEL_OPON,23, 0.50,51,  2.8,  2.7,  5.1,Revisado
2012-09-18,06:57:28,   6.793, -73.155, 144.0,  3.6,  3.6,SANTANDER,LOS_SANTOS,18, 0.50,65,  3.9,  3.5,  5.9,Revisado
